term;definition
Αλγόριθμος;Πεπερασμένη και αυστηρά καθορισμένη σειρά ενεργειών που στοχεύει στην επίλυση ενός προβλήματος
Πρόβλημα;Κατάσταση που χρήζει αντιμετώπιση και απαιτεί λύση
Δεδομένα;Οι τιμές που δίνονται ως είσοδος σε έναν αλγόριθμο
Πληροφορία;Το αποτέλεσμα της επεξεργασίας των δεδομένων
Μεταβλητή;Θέση μνήμης με όνομα και τύπο που αποθηκεύει τιμές οι οποίες μεταβάλλονται κατά την εκτέλεση του προγράμματος
Σταθερά;Ονομασμένη τιμή που δεν μεταβάλλεται κατά την εκτέλεση του προγράμματος
Τύπος δεδομένων;Σύνολο τιμών και πράξεων που μπορούν να εφαρμοστούν σε αυτές
Πίνακας;Στατική δομή δεδομένων ίδιου τύπου με κοινό όνομα και διαφορετικό δείκτη
Μονοδιάστατος πίνακας;Πίνακας που αναπαρίσταται με μία μόνο διάσταση
Δισδιάστατος πίνακας;Πίνακας που αναπαρίσταται με γραμμές και στήλες
Δομή ακολουθίας;Εκτέλεση εντολών διαδοχικά με τη σειρά που εμφανίζονται
Δομή επιλογής;Επιλογή εκτέλεσης εντολών ανάλογα με τη λογική τιμή μιας συνθήκης
Δομή επανάληψης;Εκτέλεση μιας ομάδας εντολών περισσότερες από μία φορές
Εντολή ΓΙΑ;Δομή επανάληψης με γνωστό πλήθος επαναλήψεων
Εντολή ΟΣΟ;Δομή επανάληψης με έλεγχο της συνθήκης στην αρχή
Εντολή ΜΕΧΡΙΣ_ΟΤΟΥ;Δομή επανάληψης με έλεγχο της συνθήκης στο τέλος
Μετρητής;Μεταβλητή που χρησιμοποιείται για την καταμέτρηση επαναλήψεων
Αθροιστής;Μεταβλητή που χρησιμοποιείται για τη συσσώρευση αριθμητικών τιμών
Διάγραμμα ροής;Γραφική αναπαράσταση ενός αλγορίθμου με τυποποιημένα σύμβολα
Ψευδογλώσσα;Τυπικός τρόπος περιγραφής αλγορίθμων ανεξάρτητος από γλώσσα προγραμματισμού
Υποπρόγραμμα;Τμήμα προγράμματος που επιτελεί συγκεκριμένη λειτουργία και μπορεί να καλείται από άλλα τμήματα
Διαδικασία;Υποπρόγραμμα που δεν επιστρέφει τιμή
Συνάρτηση;Υποπρόγραμμα που επιστρέφει μία μόνο τιμή
Παράμετρος;Μεταβλητή μέσω της οποίας μεταβιβάζονται δεδομένα σε υποπρόγραμμα
Στοίβα;Δομή δεδομένων με αρχή λειτουργίας LIFO
Ουρά;Δομή δεδομένων με αρχή λειτουργίας FIFO
Δυαδικό δέντρο;Ιεραρχική δομή δεδομένων στην οποία κάθε κόμβος έχει το πολύ δύο παιδιά
Ρίζα;Ο πρώτος κόμβος ενός δέντρου
Φύλλο;Κόμβος χωρίς παιδιά
Γράφος;Σύνολο κορυφών και ακμών που τις συνδέουν
Κατευθυνόμενος γράφος;Γράφος στον οποίο οι ακμές έχουν κατεύθυνση
Αρχείο;Οργάνωση δεδομένων σε δευτερεύουσα μνήμη
Δομημένος προγραμματισμός;Προγραμματισμός που βασίζεται στις δομές ακολουθίας, επιλογής και επανάληψης
Μεταγλώττιση;Διαδικασία μετατροπής προγράμματος σε γλώσσα μηχανής
