Αλγόριθμος;Πεπερασμένη και αυστηρά καθορισμένη σειρά ενεργειών που στοχεύει στην επίλυση ενός προβλήματος
Πρόβλημα;Κατάσταση που χρήζει αντιμετώπιση και απαιτεί λύση
Δεδομένα;Οι τιμές που δίνονται ως είσοδος σε έναν αλγόριθμο
Πληροφορία;Το αποτέλεσμα της επεξεργασίας των δεδομένων
Μεταβλητή;Θέση μνήμης με όνομα και τύπο που αποθηκεύει τιμές οι οποίες μεταβάλλονται κατά την εκτέλεση του προγράμματος
Σταθερά;Τιμή που δεν μεταβάλλεται κατά την εκτέλεση του προγράμματος
Πίνακας;Στατική δομή δεδομένων ίδιου τύπου
Δισδιάστατος πίνακας;Πίνακας που αναπαρίσταται με γραμμές και στήλες
Δομή ακολουθίας;Εκτέλεση εντολών διαδοχικά με τη σειρά που εμφανίζονται
Δομή επιλογής;Εκτέλεση εντολών ανάλογα με τη λογική τιμή μιας συνθήκης
Δομή επανάληψης;Εκτέλεση μιας ομάδας εντολών περισσότερες από μία φορές
Εντολή ΓΙΑ;Δομή επανάληψης για γνωστό πλήθος επαναλήψεων
Εντολή ΟΣΟ;Δομή επανάληψης με έλεγχο της συνθήκης στην αρχή
Εντολή ΜΕΧΡΙΣ_ΟΤΟΥ;Δομή επανάληψης με έλεγχο της συνθήκης στο τέλος
Μετρητής;Μεταβλητή που χρησιμοποιείται για την καταμέτρηση επαναλήψεων
Διάγραμμα ροής;Γραφική αναπαράσταση ενός αλγορίθμου με τυποποιημένα σύμβολα
Ρόμβος;Αναπαριστά την συνθήκη στο διάγραμμα ροής
Ορθογώνιο Παραλληλόγραμμο;Αναπαριστά την εντολή εκχώρησης στο διάγραμμα ροής
Πλάγιο παραλληλόγραμμο;Αναπαριστά εντολές εισόδου-εξόδου στο διάγραμμα ροής
Έλλειψη;Αναπαριστά την αρχή-τέλος στο διάγραμμα ροής
Ψευδογλώσσα;Τρόπος αναπαράστασης αλγορίθμων
Υποπρόγραμμα;Τμήμα προγράμματος που επιτελεί συγκεκριμένη λειτουργία και μπορεί να καλείται από άλλα τμήματα προγράμματος
Διαδικασία;Υποπρόγραμμα που κάνει ότι και το κύριο πρόγραμμα
Συνάρτηση;Υποπρόγραμμα που επιστρέφει μία μόνο τιμή
Παράμετρος;Μεταβλητή μέσω της οποίας μεταβιβάζονται δεδομένα σε υποπρόγραμμα
Στοίβα;Δομή δεδομένων με αρχή λειτουργίας LIFO
Κορυφή;Δείκτης στο τελευταίο στοιχείο που ωθείται σε μια στοίβα
Ουρά;Δομή δεδομένων με αρχή λειτουργίας FIFO
Εμπρός;Δείκτης στο στοιχείο που θα εξαχθεί από μια ουρά
Πίσω;Δείκτης στο στοιχείο που θα εξαχθεί πρώτο από μια ουρά
Δυαδικό δέντρο;Ιεραρχική δομή δεδομένων στην οποία κάθε κόμβος έχει το πολύ δύο παιδιά
Ρίζα;Ο πρώτος κόμβος ενός δέντρου
Φύλλο;Κόμβος χωρίς παιδιά
Γράφος;Σύνολο κορυφών και ακμών που τις συνδέουν
Κατευθυνόμενος γράφος;Γράφος στον οποίο όλες οι ακμές έχουν κατεύθυνση
Αρχείο;Οργάνωση δεδομένων σε δευτερεύουσα μνήμη
Δομημένος προγραμματισμός;Προγραμματισμός που βασίζεται στις δομές ακολουθίας, επιλογής και επανάληψης
Μεταγλώττιση;Διαδικασία μετατροπής πηγαίου προγράμματος σε πρόγραμμα αντικείμενο
Σειριακή αναζήτηση;Αναζήτηση στοιχείου σε πίνακα ελέγχοντας κάθε θέση με τη σειρά
Δυαδική αναζήτηση;Αναζήτηση σε ταξινομημένο πίνακα διαιρώντας συνεχώς το διάστημα στη μέση
Ταξινόμηση;Διαδικασία αναδιάταξης στοιχείων σε καθορισμένη σειρά
Στατική δομή;Δομή δεδομένων με σταθερό μέγεθος μνήμης
Δυναμική δομή;Δομή δεδομένων που αλλάζει μέγεθος κατά την εκτέλεση
Εμφωλευμένος βρόχος;Βρόχος που περιέχεται μέσα σε άλλο βρόχο
Σφάλμα υπερχείλισης;Ώθηση σε γεμάτη στοίβα
Σφάλμα υποχείλισης;Απώθηση από άδεια στοίβα
Συνδεδεμένη λίστα;Λίστα κόμβων όπου κάθε κόμβος δείχνει στον επόμενο
Διπλά συνδεδεμένη λίστα;Λίστα με δείκτες στον προηγούμενο και τον επόμενο κόμβο
Κεφαλή;Δείκτης στον πρώτο κόμβο μιας λίστας
Δένδρο;Ιεραρχική δομή κόμβων με μία ρίζα και υποκόμβους
Φύλλο δέντρου;Κόμβος χωρίς παιδιά
Αδέλφια;Κόμβοι με τον ίδιο γονέα σε δέντρο
Δυαδικό δέντρο αναζήτησης;Δυαδικό δένδρο με κόμβους αριστερά μικρότερους και δεξιά μεγαλύτερους
Δένδρο απόφασης;Δένδρο όπου κόμβοι είναι χαρακτηριστικά, ακμές αποφάσεις και φύλλα αποτελέσματα
Δένδρο παιχνιδιού;Δένδρο που περιγράφει όλες τις πιθανές κινήσεις σε παιχνίδι
Διατεταγμένο δένδρο;Δένδρο όπου τα παιδιά κάθε κόμβου έχουν συγκεκριμένη σειρά
Μη κατευθυνόμενος γράφος;Όλες οι ακμές δεν έχουν κατεύθυνση
Εξοδος;Κριτήριο αλγορίθμου
Αλγοριθμική;Σκοπιά που η πληροφορική μελετά τους αλγορίθμους
Αποδοτικότητα αλγορίθμου;Κριτήριο που εξετάζει πόρους και χρόνο εκτέλεσης
Είσοδος;Δεδομένα που εισάγονται σε αλγόριθμο για επεξεργασία
Δομή δεδομένων;Μέθοδος οργάνωσης και αποθήκευσης δεδομένων
Συνάρτηση;Επιστροφή μιας μόνο τιμής στο κύριο πρόγραμμα
Αντικειμενοστραφής προγραμματισμός;Μεθοδολογία με αυτόνομες οντότητες που έχουν ιδιότητες και μεθόδους
Κλάση;Γενικός τύπος αντικειμένου που καθορίζει ιδιότητες και συμπεριφορά
Αντικείμενο;Οντότητα με δεδομένα (ιδιότητες) και ενέργειες (μέθοδοι)
Μέθοδοι;Ενέργειες που καθορίζουν τη συμπεριφορά ενός αντικειμένου
Ενθυλάκωση;Συνδυασμός εσωτερικά των ιδιοτήτων και των μεθόδων σε ένα αντικείμενο
Κληρονομικότητα;Υποκλάσεις κληρονομούν χαρακτηριστικά υπερκλάσεων
Πολυμορφισμός;Ιδιότητα με δυνατότητα μιας λειτουργίας να υλοποιείται με διαφορετικούς τρόπους
Δομή επιλογής;Εκτέλεση εντολών ανάλογα με το αποτέλεσμα μιας συνθήκης
Λογικό σφάλμα;Λάθος στον σχεδιασμό αλγορίθμου που δίνει λανθασμένο αποτέλεσμα
Συντακτικό σφάλμα;Λάθος στη σύνταξη εντολών που εντοπίζεται από τον μεταγλωττιστή
Σφάλμα αντικανονικού τερματισμού;Λάθος που προκαλεί διακοπή ή ανεπιθύμητη συμπεριφορά κατά την εκτέλεση
Εκσφαλμάτωση;Διαδικασία ελέγχου και διόρθωσης σφαλμάτων
Κατανόηση προβλήματος;Συνάρτηση της σωστής διατύπωσης από τον δημιουργό και της σωστής ερμηνείας από αυτόν που το επιλύει
Δομή προβλήματος;Τα συστατικά μέρη ενός προβλήματος και ο τρόπος που αυτά συνδέονται μεταξύ τους
Διαγραμματική αναπαράσταση ανάλυσης;Γραφική απεικόνιση όπου το πρόβλημα και τα υποπροβλήματα αναπαρίστανται με ορθογώνια σε επίπεδα
Καθορισμός απαιτήσεων;Ο επακριβής προσδιορισμός των δεδομένων και η λεπτομερειακή καταγραφή των ζητούμενων αποτελεσμάτων
Στάδιο Ανάλυσης;Η διάσπαση του αρχικού προβλήματος σε επιμέρους απλούστερα προβλήματα
Στάδιο Επίλυσης;Η υλοποίηση της λύσης μέσω της αντιμετώπισης των επιμέρους προβλημάτων
Καθοριστικότητα;Κριτήριο αλγορίθμου που απαιτεί οι εντολές να είναι απόλυτα καθορισμένες ως προς τον τρόπο εκτέλεσης
Περατότητα;Κριτήριο αλγορίθμου που απαιτεί την ολοκλήρωση της εκτέλεσης σε πεπερασμένο χρόνο και βήματα
Αποτελεσματικότητα;Κριτήριο αλγορίθμου που απαιτεί κάθε εντολή να είναι απλή και εκτελέσιμη
Σκοπιά Υλικού;Μελέτη των αλγορίθμων με βάση την ταχύτητα εκτέλεσης που επηρεάζεται από τις τεχνολογίες των υπολογιστών
Σκοπιά Γλωσσών Προγραμματισμού;Μελέτη του πώς το επίπεδο της γλώσσας επηρεάζει τη δομή και το πλήθος των εντολών
Θεωρητική σκοπιά;Μελέτη για το αν υπάρχει πράγματι αποδοτικός αλγόριθμος για την επίλυση ενός προβλήματος
Αναλυτική σκοπιά;Μελέτη των υπολογιστικών πόρων (μνήμη, χρόνος) που απαιτούνται από έναν αλγόριθμο
Ελεύθερο κείμενο;Τρόπος αναπαράστασης αλγορίθμου που ενδέχεται να παρουσιάζει προβλήματα αποτελεσματικότητας
Φυσική γλώσσα κατά βήματα;Τρόπος αναπαράστασης που ενδέχεται να έχει πρόβλημα καθοριστικότητας
Κωδικοποίηση;Αναπαράσταση αλγορίθμου με χρήση ψευδογλώσσας ή γλώσσας προγραμματισμού
Δεσμευμένες λέξεις;Οι λέξεις που έχουν συγκεκριμένη σημασία για τη γλώσσα προγραμματισμού και δεν χρησιμοποιούνται ως ονόματα
Κανόνας ονοματολογίας;Ξεκινά με γράμμα, περιέχει γράμματα/αριθμούς/κάτω παύλα και δεν είναι δεσμευμένη λέξη
Λογικές τιμές;ΑΛΗΘΗΣ-ΨΕΥΔΗΣ
Χαρακτήρας;Τύπος δεδομένων για την αναπαράσταση γραμμάτων, συμβόλων ή αριθμητικών ψηφίων ως κείμενο
Αριθμητικοί τελεστές;Σύμβολα για μαθηματικές πράξεις όπως +, -, *, /, ^, DIV και MOD
Λογικοί τελεστές;ΚΑΙ, Η, ΟΧΙ
Συγκριτικοί τελεστές;<, >, <=, >=, =, <>
DIV;Αριθμητικός τελεστής που επιστρέφει το ακέραιο μέρος της διαίρεσης
MOD;Αριθμητικός τελεστής που επιστρέφει το υπόλοιπο της ακέραιας διαίρεσης
Αποτίμηση έκφρασης;Η διαδικασία απόδοσης τιμών στις μεταβλητές και εκτέλεσης των πράξεων για την εύρεση τελικής τιμής
Τελεστέοι;Οι μεταβλητές ή σταθερές που συμμετέχουν σε μια πράξη μέσα σε μια έκφραση
Σύζευξη (ΚΑΙ);Λογική πράξη που είναι αληθής μόνο όταν και οι δύο συνθήκες είναι αληθείς
Διάζευξη (Η);Λογική πράξη που είναι αληθής αν τουλάχιστον μία από τις συνθήκες είναι αληθής
Άρνηση (ΟΧΙ);Λογική πράξη που αντιστρέφει τη λογική τιμή μιας συνθήκης
ΗΜ(Χ);Μαθηματική συνάρτηση της ΓΛΩΣΣΑΣ για τον υπολογισμό του ημιτόνου
ΣΥΝ(Χ);Μαθηματική συνάρτηση της ΓΛΩΣΣΑΣ για τον υπολογισμό του συνημιτόνου
ΕΦ(Χ);Μαθηματική συνάρτηση της ΓΛΩΣΣΑΣ για τον υπολογισμό της εφαπτομένης
Τ_Ρ(Χ);Μαθηματική συνάρτηση της ΓΛΩΣΣΑΣ για τον υπολογισμό της τετραγωνικής ρίζας
ΛΟΓ(Χ);Μαθηματική συνάρτηση της ΓΛΩΣΣΑΣ για τον φυσικό λογάριθμο
Ε(Χ);Μαθηματική συνάρτηση της ΓΛΩΣΣΑΣ για τον υπολογισμό του e υψωμένου στη δύναμη x
Α_Μ(Χ);Μαθηματική συνάρτηση που επιστρέφει το ακέραιο μέρος ενός αριθμού
Α_Τ(Χ);Μαθηματική συνάρτηση που επιστρέφει την απόλυτη τιμή ενός αριθμού
Εντολή εκχώρησης;Υπολογισμός της έκφρασης δεξιά και αποθήκευση του αποτελέσματος στη μεταβλητή αριστερά
Λειτουργία ΔΙΑΒΑΣΕ;Διακοπή εκτέλεσης και αναμονή για εισαγωγή τιμών από το πληκτρολόγιο
Λίστα στοιχείων ΓΡΑΨΕ;Περιλαμβάνει σταθερές και ονόματα μεταβλητών προς εμφάνιση στην έξοδο
